pair,event,window,band,delta_db,match_cost
B_open,3,80-160ms,150-500,-12.05716738261387,1.3007010260255283
B_open,3,80-160ms,500-2000,10.942051783490555,1.3007010260255283
B_open,3,80-160ms,2000-5000,-9.468584599426535,1.3007010260255283
B_open,3,80-160ms,5000-10000,-9.405936878973321,1.3007010260255283
B_open,4,0-5ms,20-60,10.628394700627283,1.3408857613853389
B_open,4,0-5ms,60-150,9.705901571782888,1.3408857613853389
B_open,4,0-5ms,150-500,6.646021987574066,1.3408857613853389
B_open,4,0-5ms,500-2000,1.6421835216639238,1.3408857613853389
B_open,4,0-5ms,2000-5000,5.789820430032293,1.3408857613853389
B_open,4,0-5ms,5000-10000,-0.2525150171085784,1.3408857613853389
B_open,4,5-10ms,20-60,-3.184460038116626,1.3408857613853389
B_open,4,5-10ms,60-150,-3.3270354311448145,1.3408857613853389
B_open,4,5-10ms,150-500,-4.819576638858152,1.3408857613853389
B_open,4,5-10ms,500-2000,-2.3296898812492586,1.3408857613853389
B_open,4,5-10ms,2000-5000,-12.752508423915046,1.3408857613853389
B_open,4,5-10ms,5000-10000,-14.985407960459142,1.3408857613853389
B_open,4,10-20ms,20-60,-11.183359692768924,1.3408857613853389
B_open,4,10-20ms,60-150,-10.908115751305594,1.3408857613853389
B_open,4,10-20ms,150-500,-9.105964153622828,1.3408857613853389
B_open,4,10-20ms,500-2000,-3.4142885505777087,1.3408857613853389
B_open,4,10-20ms,2000-5000,-10.185725441298885,1.3408857613853389
B_open,4,10-20ms,5000-10000,-10.558486250734603,1.3408857613853389
B_open,4,20-40ms,20-60,-17.66854866046232,1.3408857613853389
B_open,4,20-40ms,60-150,-17.119360646007266,1.3408857613853389
B_open,4,20-40ms,150-500,-16.70432860014987,1.3408857613853389
B_open,4,20-40ms,500-2000,-10.712675159771166,1.3408857613853389
B_open,4,20-40ms,2000-5000,-16.87816965775791,1.3408857613853389
B_open,4,20-40ms,5000-10000,-17.137647813032828,1.3408857613853389
B_open,4,40-80ms,20-60,-14.201914329187808,1.3408857613853389
B_open,4,40-80ms,60-150,-13.146493994479926,1.3408857613853389
B_open,4,40-80ms,150-500,-12.508395025989365,1.3408857613853389
B_open,4,40-80ms,500-2000,12.890844968604185,1.3408857613853389
B_open,4,40-80ms,2000-5000,-3.5825436935911057,1.3408857613853389
B_open,4,40-80ms,5000-10000,-3.7329891656791574,1.3408857613853389
B_open,4,80-160ms,20-60,-14.376037899344453,1.3408857613853389
B_open,4,80-160ms,60-150,-13.122665966178154,1.3408857613853389
B_open,4,80-160ms,150-500,-8.817758850975181,1.3408857613853389
B_open,4,80-160ms,500-2000,21.599607126819237,1.3408857613853389
B_open,4,80-160ms,2000-5000,1.2708565305339619,1.3408857613853389
B_open,4,80-160ms,5000-10000,0.37080784611518425,1.3408857613853389
B_open,5,0-5ms,20-60,2.297720292909389,1.6795940006924723
B_open,5,0-5ms,60-150,2.0189160669762387,1.6795940006924723
B_open,5,0-5ms,150-500,0.864906471624586,1.6795940006924723
B_open,5,0-5ms,500-2000,-0.7757171436411312,1.6795940006924723
B_open,5,0-5ms,2000-5000,0.000461224210596356,1.6795940006924723
B_open,5,0-5ms,5000-10000,-3.867052276797452,1.6795940006924723
B_open,5,5-10ms,20-60,-6.288438693547036,1.6795940006924723
B_open,5,5-10ms,60-150,-4.459199974427463,1.6795940006924723
B_open,5,5-10ms,150-500,-6.068905313243107,1.6795940006924723
B_open,5,5-10ms,500-2000,-0.06928354238584689,1.6795940006924723
B_open,5,5-10ms,2000-5000,-3.438553935602215,1.6795940006924723
B_open,5,5-10ms,5000-10000,-9.307936408048377,1.6795940006924723
B_open,5,10-20ms,20-60,-7.030997912483073,1.6795940006924723
B_open,5,10-20ms,60-150,-8.999993005005713,1.6795940006924723
B_open,5,10-20ms,150-500,-11.221818582808012,1.6795940006924723
B_open,5,10-20ms,500-2000,-9.875032845038668,1.6795940006924723
B_open,5,10-20ms,2000-5000,-10.72318703980477,1.6795940006924723
B_open,5,10-20ms,5000-10000,-10.902270128470676,1.6795940006924723
B_open,5,20-40ms,20-60,-21.321865934111734,1.6795940006924723
B_open,5,20-40ms,60-150,-24.63172389213688,1.6795940006924723
B_open,5,20-40ms,150-500,-26.384537144854285,1.6795940006924723
B_open,5,20-40ms,500-2000,-9.905164916665456,1.6795940006924723
B_open,5,20-40ms,2000-5000,-17.47074815005665,1.6795940006924723
B_open,5,20-40ms,5000-10000,-17.95376201403927,1.6795940006924723
B_open,5,40-80ms,20-60,-15.5319774923638,1.6795940006924723
B_open,5,40-80ms,60-150,-19.166799932768882,1.6795940006924723
B_open,5,40-80ms,150-500,-18.395340490948776,1.6795940006924723
B_open,5,40-80ms,500-2000,1.909651421132125,1.6795940006924723
B_open,5,40-80ms,2000-5000,-6.816903164099415,1.6795940006924723
B_open,5,40-80ms,5000-10000,-6.862472946918132,1.6795940006924723
B_open,5,80-160ms,20-60,-13.021721020517084,1.6795940006924723
B_open,5,80-160ms,60-150,-19.233841622661693,1.6795940006924723
B_open,5,80-160ms,150-500,-15.520941470427914,1.6795940006924723
B_open,5,80-160ms,500-2000,5.481528142175023,1.6795940006924723
B_open,5,80-160ms,2000-5000,-6.605358434125222,1.6795940006924723
B_open,5,80-160ms,5000-10000,-6.6514866771972265,1.6795940006924723
B_open,6,0-5ms,20-60,-16.481344532776454,1.4064102122364088
B_open,6,0-5ms,60-150,-16.757093292834043,1.4064102122364088
B_open,6,0-5ms,150-500,-16.9251165620501,1.4064102122364088
B_open,6,0-5ms,500-2000,-14.617739811018112,1.4064102122364088
B_open,6,0-5ms,2000-5000,-11.154860030900721,1.4064102122364088
B_open,6,0-5ms,5000-10000,-16.027879674600285,1.4064102122364088
B_open,6,5-10ms,20-60,-6.74984921194698,1.4064102122364088
B_open,6,5-10ms,60-150,-3.559060702322519,1.4064102122364088
B_open,6,5-10ms,150-500,-5.296012459355929,1.4064102122364088
B_open,6,5-10ms,500-2000,-4.462300474104552,1.4064102122364088
